text,sentiment
http://православнаяинициатива.рф/ #ЗаСильнуюРоссию  крутость зашкаливает))))))))))?/&gt;.?.?.?.,positive
@Photo_Nikita @sd0107 @pastya_nastya жестокий мир (,negative
Сегодня и вчера самые лучшие дни! Но не только из-за др...кто знает тот поймёт)))))),positive
"-Свет,а какой у тебя ответ в первой задаче? -15 см. - о_О БОЛЬШОЙ! ",negative
"Даже как-то смешно читать, что у какой-то страны армия 70 — 100 человек :)",positive
"@nastyalavrinovi  да просто начала играть и когла уже больше пятиста тысяч было начала скейты использовать,  и даже 3 ключа просрала(",negative
@ediny_marsy @S_O_O_O_O_N Этого я не могу объяснить,negative
"Сидел за компьютером, читал википедию. Тут подходит папа, смотрит на экран и говорит:""бусен нинди педия таген?""))",positive
"В нашей жизни должно быть всего лишь два правила:
1) Мелкие проблемы - это пустяк. 2) Все проблемы - мелкие!",positive
Место того чтоб пойти спать я сижу учу геометрию(((,negative
"@yellow_hedgehog не знаю, просто настроение упало :(",negative
"Лента, жизненно важный вопрос
Какого цвета лучше?
ПыСы: я блондинка, если что х) http://t.co/5eHrP7mMRF",positive
@shalaginovaaa поздравляю!!! ты справилась с ролью самостоятельной женщины:*,positive
Зато у меня наконец есть классная акварель! Спасибо @elinaaa868 @Shleder . Продавец трушный :D,positive
"@jungyoongri snsd и aoa не вариант.... а вот водэ гелс я люблю :3 ну, спасибо за помощь )",positive
Один фиг флажок сочи 2014 не дали((((( САННЫЕ ЖМОТЫ,negative
RT @kerahunijuf: Помогите написать рецензию на детскую книгу...(((,negative
@PartyPoison1505 нит:( я из Украины. Твиттерские из Укр. Как легенда. Они есть  но я их Не вчтречала:(,negative
"Почему ""Золотой глобус"" был в 5.00? :(
Надо найти повтор.",negative
"На 10:00 в салон, но что-то мне перехотелось стричься(",negative
Капец как круто мы уже неделю идём домой как не выйдём из школы сразу в нас летит снежок и так до дома не дойдёшь обкидают по реале:DDD,positive
"завтра в школу ехать , забирать табель
ояебу как мне лень
опять депрессую :(",negative
"Цена билетов, конечно, ебнесся, но очень хочется((",negative
#ХочуПровестиНовогоднююНочьВместеС @imbeeliectioner с обрей любимой) не обижайся на меня:3,positive
"Ох объелась я мандаринок.
лежу смотрю уральские пельмени:D",positive
"Так не хочется отказываться от джеила,терять производит. и удобство, но придется отдать голос в пользу стабильности и работу всех сервисов((",negative
"@msdarren16 Когда у нас появляются мандаринки, их съедаю я
Больше они никому не достаются х)
#нежадная",positive
"@blue_slippers мм)
давай)
Маша,16 лет,живу в Питере)
ты?)",positive
Ебаное желание просто поцеловать тебя все испортило :-(,negative
"одела сегодня юбку... 
чтобы хоть как-то поднять настроение трудного дня :(
скорее бы он уже прошел",negative
"@sacreddarling когда я писал это, то не думал, что будет совсем бессонной((",negative
Нахально оставляю ссылку на свой вишлист : http://t.co/MyyDkssz39 Ну мало ли) праздники скоро всё-таки),positive
"+3 г.Ярцево, Смоленская область. Новый год ептыть(( хочу снег и мороз!!! #декабрьсошелсума http://t.co/jjaCaN0M1X",negative
"@igorbaranov7, Встала ровно в 7:30 без будильника..(",negative
"""..и тогда наверняка,вдруг запляшут облака и кузнечик запиликает на скрипке...""-под чем был автор песни??о_О",negative
"RT @krisPermyakova: я одна не знаю в чем пойду на нг :(
мне вооооообще не в чем",negative
"@Jannka95 @Dashka3791 и когда ты приедешь, солнце?(",negative
"RT @JinG_Band: Ну вот, приехал из Иерусалима, а у нас уже Новый Год и нас встречает ёлочка :) Приятно и чувствуется праздник ;) http://t.co…",positive
Советую всем почитать)) Офигенная книга http://t.co/J2yQmuNGau,positive
"Хаха, извиняйте за эту ночную наркоманию, всем споки)",positive
За энэ гүүгл транслате чинь зугаатайм байна шүү ккк :D http://t.co/RF8EoG6amr,positive
RT @LudmilaSadovaja: В семье не без урода....) http://t.co/jG1rEEefwU,positive
"Этой ночью посмотрела фильм ""Решала"", такооой сильный;( +1 норм русский фильм наконец-тоо",negative
"""@obnuli: Цени тех, кто терпит твои вечные психи."" Не, ну правдиво чего-то ((",negative
"RT @_4EMbl__: @xuinston @4EMbI_4EVER @starpartydeath не смешно =( он же убогий такой
Хотя мне его жалко",negative
"Нужно уметь разбираться в людях,иногда можно сильно разочароваться(",negative
она: а ещё у меня грудь... 1 размера( он: та же фигня (((,negative
Надо чаще спать... Вообще башка квадратная %(,negative
RT @hyvavere: Обормонстер ищет людей для настолочек вотпрямща. Есть желающие? :),positive
"бляха, больше 60ти каналов, а смотреть то нечего - печаль(",negative
@_perfectdenial_ лижу в кравати как лалка ((9(((999(9,negative
"RT @fumymunupiq: http://t.co/zr04LFCONb Я так хочу тебя увидеть,твоё лицо,твои глаза,ещё хочу твой смех услышать,чтоб из души ушла тоска((((",negative
RT @eginydid: Наткнулся на интересный блог:   — читаю :),positive
Вот это чудо мама не хочет взять ((( http://t.co/KWklQrAhQu,negative
"спасибо гениальным людям за то,что изобрели душевые кабинки)кайф",positive
"начала смотреть сериал ""Молодёжка"", не скажу что ахеренный, но интересный, смотреть можно)) пойду дальше смотреть)",positive
"Блииин... Многие говорят, что не самая лучшая его книга ( http://t.co/vc9eyGOnNB",negative
"@juliabogatko я такая же :DD
шипперю Пэнри, хуле :D",positive
"@CATAHA_HELENA я просто смотрела много серий подряд, а на последнюю силёнок не хватило :(",negative
"@Koteika99 короче фильмы с Джимом Кери)) щас ""Брюс Всемогущий""",positive
Даже у Деми есть снег ( http://t.co/5o2eIUoYHE,negative
"так плохо, сердце болит, голова болит, настроения нет
в душе хер пойми что :(",negative
чё кому сигну от днище-твиттерского ты есть от меня ? :--)))),positive
"Меня разбудили, теперь надо убираться и мыть пол((",negative
"RT @Komarov_N: ""Любовь это... когда прочитав эту фразу, ты уже успел подумать о каком-то человеке.""
- сука, никого не вспомнил..(",negative
Женщины иногда такие сороки!(( да простит мне мой мч мои растраты. Будет подарком на нг.,negative
"@Polina_Kolt @Setitles есть красивые шубы, но не эта ))) хотя вообще я скорее против шуб, чем за.",positive
"Сходила на днюху нзываеться....перебрала...плохо вобщем было(( 
а как весело начиналось...ээх...",negative
"Надо найти ребенка, срочно(((( http://t.co/DFwPG6bJMx",negative
"@tasha_velum мы таскали кино японское из комнаты, где стоят сами проекторы)) http://t.co/o9rgXEm6dm",positive
"@cookiekatycat вапщи охринели везде , ахах) пора бы запомнить",positive
Блииин так старые фотки одноклассников мне настроение подняли. :D,positive
"Ребятушки,у кого есть Viber? Write me +375298172996 :)",positive
"Гребаный Шерлок, ну почему ты идешь так поздно(( похоже опять придется смотреть повтор((",negative
"RT @DarynaMatjash: чудесный вечер, но меня ждет право.кофе-хаус, люблю эту атмосферу)",positive
"Я тут понял, что...пылесос похож на далека :-) ну серьёзно :-)",positive
"Не знаю где и как, но мне надуло ухо и сегодня я вынуждена сидеть дома:((
Пойду мультики смотреть...
#Это_победа http://t.co/rKI2ayx6hq",negative
"@cat_glambert ДА ХЗ( СМАТРИ, РЕКЛАМА ВИСИТ И НЕ УБИРАИЦА( НА ВСЕХ СТРАНИЦАХ, НИ ТОКА В ТВИ(  БЕСИТ( http://t.co/gsJejUNfaf",negative
На сколько ж безсмысленые песни крутят по радио(,negative
"@StYarushin колхоз - это остальные пассажиры, а эти двое - уровень!))))",positive
RT @LIGAnet: Европарламент: 1) осудил применение силы против Майдана; 2) призвал освободить задержанных; 3) рекомендовал МВФ и ЕБРР помочь …,positive
У девочек 3 место) сегодня наградили наших чемпионок! Было приятно посмотреть на наших красавиц:*,positive
Горло.болит горло. И еще у меня друзья. И петруха(аааа(((,negative
"Ох...Вчера мы с мамой объездили все магазины которые можно!
Купили много барахла для нового года!
Ну и мне кое-что:)))",positive
Дедом без сына :( “@dostoverkin: Президент Татарстана стал дедом...”,negative
"О да, спасибо, проснуться в таком положении-именно то, о чем я и мечтала! Я испугалась же...Зачем так:(",negative
"@Sonia_Maslova жаль, что другие вк так не обновляют(",negative
"@nastyacruglova я занимаюсь тем же) правда , на улице была)",positive
"RT @irina_bezrukova: Как выходной?)) У меня плавно и домашне.)) За окном снежок идет..Дома тепло, уютно..",positive
@owevatywoc Ммм:):)ну может я стесняюсь о своих желаниях говорить:):*,positive
"@bata_good Хых.)) Меня отсылали в какой-то художественный магазин, там подешевле вроде должно быть, но я его так и не нашла :)",positive
@nastya24_12 до меня тоже только сегодня дошло это:D вчера я была выжита как лимон,positive
"RT @gakyranodyc: хомяки - они как наркотик))) вроде бы знаешь что он тебе совсем не нужен, ужасно воняет и с",positive
6 дней как ты не с нами:( Не понимаю почему небеса забирают таких хороших как ты. Очень люблю тебя и каждый день вспоминаю.,negative
"@TheNikaRuban музыку слушаю и жду живой звук, а ты?:)",positive
"@FuckFrenzy @Yorikovna Вероника,ты на Лизу гонишь!? На стадионе сча выйдем разберёмся)",positive
"Она прилетела и не сообщила,то же мне родная:(",negative
Это фото без изменений не осталось )) http://t.co/aqVI1Mca2a,positive
@mdsmirnova @Valeriya1696 да в целом когда они всегда объявляются не в тему),positive
"Прямо за моим окном у дороги выстроилась толпа людей, бежит факелоносец о_О",negative
@Lei_Ri Спасибо) считаю найти свое место очень важно.,positive
@simply_dafee разбуди своего внутреннего Жириновского)),positive
чо за медная гора ? прямо блоки блоки и гора(,negative
"@anastasiya846 меня послали нахуй после того,как я потеряла свою нокию:(",negative
"Сначала узнала, что у него энтерит, потом, что после съемок он поскользнулся и повредил лицо и плечо :(",negative
"Наконец то позвонииил, меня не будет в близжайшие 3 часа)",positive
"ахах уйти после второго урока,опаздать на соревнования,в этом все мы
причинаааа-мы мыли кота:)ахах",positive
"@poli_afonina @_green_bitch_ Ахах, я просто пьян чуток:D",positive
“@manegka: Калашников умер говорят. Жаль.”да(,negative
RT @ukixohoduw: Что-то после компиляции нового ядра с поддержкой VESA у меня вообще бздя не хочет грузиться. Печально. :(,negative
"http://t.co/lm1QJU2ByE / Оставляйте мнений,я пошла :** http://t.co/q014T1wuG0",positive
"@finnlid поп, рок, треп:3 Все по настроению:3 Почему ты музыку не слушаешь?(",negative
"Вопросы к фото) 4 вопроса и далее) /  / Хозяин фото, не забываем отвечать на вопросы) http://t.co/wR3DRKYRDn",positive
"заебись будет праздник...
котька всю ночь работает(( http://t.co/jlkonYe7bI",negative
бля где экзорцист меня труханы найла анфолловили((((,negative
"Счастья вам, дорогие) а у меня другое счастье. ;))))",positive
@naked_but_safe ахахах) с чего ты взяла?) ты не смотрела?,positive
"Я настолько неудачник, что даже в душ сходить без приключений не могу:(",negative
"Вспомнила, прослизилась:( http://t.co/QNTb5WCgj7",negative
"ахахахах красивая дата и пробки возле загсов Х) люди идиоты, нахрена геморрой",positive
"Печально, что лучший танец сезона видимо пролетает с ОИ:(",negative
"@_Ekaterinaa_ я это часто говорю,но я не думаю что я хорошая:(",negative
"@Voronushka10 @k_andreychikova @NastyaEsina  ахахах, Ксюш, он меня читает:D",positive
"RT @RonyLiss: @MsWildFan @msdarren16 ВОТ ТЕПЕРЬ ТЫ ТОЧНА ОТ МЕНЯ НЕ ОТВЕРТИШЬСЯ х)
БУДЕМ УПАРЫВАТЬСЯ ВМЕСТЕ",positive
"@cottiIard ЛАЛАЛАЛА БУКЕТЫ ТАК ИХ СПАСАЯ ОТ ВЕТРА И ХОРОШО ЧТО ОН НЕ ЗНАЕТ.

больше  я не помню ;(",negative
"@yours_Nataly да, кстати)
ольвье
омномном
я жду нг, чтобы пожрать
не будем себя обманывать))",positive
"С утра пошла за овощами, заодно купила пароварку. Логику поступка сама не понимаю, но вареникам на выходных — да! :)",positive
"@sofia_mail просто ты человек с отличными вкусом))
да и он очень схож у нас",positive
Что-то я нихуя не выспалась и у меня болит голова :(,negative
Чупс без палочки:( http://t.co/mY28Tp0ivL,negative
"RT @fekogutetoke: , спасибо вам за эклеры, они чудесны :) и уже почти все съедены :) а мы боялись",positive
"@mr_takhir @gusak_av Тахир, ты единственный среагировал на цену... Наверное, просто самый внимательный ;))",positive
@fr3ddiem3rcury мы даже хозяина напугали((99,negative
"за этот месяц, наверное, первый раз так рано приехала домой. теперь не знаю, чем себя занять(",negative
"RT @Batishchevaaaa: Я уже забыла как это, вставать в 7 утра :(",negative
"RT @M7778956: @5umm Как раз читаю  "" Великий Гэтсби "" Фицджеральда  Скотта , А  Вам спокойной ночи :))) http://t.co/wBvK9zOV2N",positive
На курсах я просто упала на парту и уснула...(,negative
"@the_DrunkenClam тяжёлый случай( в Чехию? Отпуск? Или снова ""проклятая"" командировка?",negative
"Все умиляются морозам,а у меня от холода сохнет кожа и рвется:(",negative
"Детская фут секция.Пацаны 9-10лет.На мой вопрос:""за кого болеете парни?""ответили-реал,барса,амкар,синит,МЮ ...Спартак не назвал никто(((",negative
"RT @dehugajozux: Приехал в #ivanovo, ужаснулся! У меня на балконе ветром стекла вырвало( Вот, блин, непогода(((",negative
RT @karrimov: Уругвай полностью легализовал марихуану. Его жители на фото явно радуются) http://t.co/Qt6FjldEr0,positive
Я что-то сделала с сосудами в носу %( через раз выделения — кровавые :(,negative
"а в моем любимом городе, снега намного больше, чем тут...как же туда хочется(((",negative
"@Okean_E вспомнила про меня.. (
Тебя тоже ♥",negative
"RT @RunAwayThisTime: #HappyBirthdayZayn
уже 21 :( http://t.co/GHvVcy0xlG",negative
"RT @satapifebit: 3 коровы, 33 коровы, 33 коровы, ни одного быка, 33 коровы, 33 коровы, томный взгляд на тело пастуха:)) http://t.co/5VWxyAa…",positive
"@JulieSVolt а ты думал,докторскую премию не всем дают :D",positive
Учишься ли ты на своих ошибках? — К сожалению не всегда( http://t.co/leVlpGjzs2,negative
"@lets_go__fuck Мэтт не тп, а хипстер (((((( лысый хипстер (((((",negative
"может это и к лучшему,может эта читалка мне и не нужна,значит так надо,хоть очень ее хотелось...в следующий раз..печально конечно(",negative
@crashgirl69 все уже было где-то)))))) такие дела!)),positive
"Все выкладывают фотки со снегом , а у меня галимый телефон и я не могу ничего выложить ));",positive
@Martin_Nut Пхавха наруто)) Мне кажется или Чидори ничто перед Кирой?),positive
"@islamova_adelya Я НЕ СМОТРЕЛА ТВИТКАМ(((( ТАК В МОЕЙ ЛИНТЕ КТО-ТО НАПИСАЛ

ТОЧНО НЕ ЗНАЮ
НАДО БУДЕТ УТОЧНИТЬ ПОТОМ У КОГОТО",negative
"Никогда не подумала бы, что самое приятное на свете сообщение мне пришлет преподаватель))",positive
@octjber @Danny_Norman ну иногда просто обзывают пидорасом.не имея в виду педика или что нить там еще.гопоте пох ваще как обсирать),positive
"@kass_my_ass есть в твоих словах доля правды, бират)))",positive
"снос Ленина, это символично) 
и я не могу перестать об этом думать) а модет мы выиграем, эту партию?)))",positive
да и сочинения тоже бесят =((((((((((((((((,negative
"люди, любите друг друга. это всё, что нам делать осталось))",positive
Люблю её:**Афигенская моя девочка:* http://t.co/a1YrZCu6Hx,positive
Ноги болит :( 3 часа танцевали вот что значит ночной клуб,negative
@milayaanechka15 мы вам с ершом уже купили ахахахах(((((,negative
"он: зай, что делаешь? я: есть готовлю он: что готовишь? я: вроде суп, а там посмотрим..)",positive
"а, ещё вытирал голову, и как обычно, защемило что-то в шее. карочи, я хуже   :(",negative
слишком-слишком много работы!однако здравствуйте рабочие выходные...#побольшесилмне:(,negative
"АнЯ плакса(((посмотрели фильм,теперь плачу(",negative
"@barabanoanasty 
АЗЗЗЗЗЗЗЗ.
Ну тогда всё получиться)",positive
@alexradchenko не хочу такую погоду до марта((( хочу осеннюю погоду,negative
"Буду фотографироваться до тех пор,пока не понравится :D",positive
Найдите мне общее и различное в философии средних веков и Возраждения! Я умру сейчас иначе:(,negative
как мне плохо после др у Никиты:( щас умру...,negative
Ну почему сегодня такие нудные уроки ??:((,negative
"Кстати,сейчас русского такого нет как в шк,и я уже начинаю сомневаться в написании некоторых слов:(деградирую блин...надо конспект открыть",negative
"RT @apyraqaje: Кто-нибудь может объяснить, что это за чудо — Adobe Flash Builder for http://t.co/G0RM649cCd (",negative
RT @SpanchBob99: ахуенно сходили в тренажёрку :* http://t.co/xn8h5bawTi,positive
"почему то я очень ржу с его альбома ""Я."" ,потому что там фотки каких-то пропиаренных подростков ))",positive
"RT @olyailinskaya: @TSF_Peanut Я тебя расстрою, она не там живёт. :D",positive
@Kudahtalka я  последнего фильма не видел :(,negative
"Мда... плохое начала дня:(
Еще и диктант этот.",negative
И так. У меня в 4 утра начал обновляется андроид. Я ждала пока он обновится где то час! Серьезно! Я не выспалась из за него :(,negative
"@Lisenok_412 ооо,поздравляю:3 я выспался сегодня:) еще мне снилась Гага лол",positive
"@misha_mishutka блять,та це крутий табєль! тємболіє для мальчика! не то шо у нас в 5 школі,у дєвочок хуже(",negative
"Друзья, до сих пор оооочень ищу квартиру ((((Оооочень и оооочень срочно ((Хел плиз. Желательно центр",negative
@SAY__HO не правда..просто закрутился на работе Кать..плюс учеба..не дуйся на не ахуенного меня!),positive
"@Charity_Rum спросишь мне скажи, я драйв хочу, а одной не прикольно(",negative
"Sucker Punch прекрасный фильм. Не понимаю, когда на него говнят(",negative
"Родители как бы должны поддерживать своих детей во всем,а у меня все так,что я для них гавно.(",negative
"@KhanLolka @FansGulnaraK хихи, и правда рассмешили) напоминает спор двух Мамудов на дороге.",positive
"профессиональные навыки: ( word, excel, internet, outlook, 1с 7",negative
@CEKC_C_MAPCAMu я сегодня проснулся в час дня :-) типа еще энергия осталась,positive
"У меня новая традиция
В 11:11 если я еще не сплю я мечтаю
Просто мечтаю обо всем:)",positive
"я совсем не знаю,что подарить своим девкам на новый год:((((",negative
"Пиздец((( Но если не вернет, пусть на его совести будет(",negative
@shkesik блиа.. Я огорчена своей ошибкой((( ну в смысле орфографии,negative
"@ame_divinisee я тебе еще месяц назад на шахте пару раз пыталась тебе сказать,а тебе то некогда было,то отвлекалась и мимо ушей пропускала)",positive
http://t.co/sPlW4znSG4 Как же все-таки трудно без настоящей лучшей подруги….((((,negative
@disappointmeen с костью на руке что-то не так ;(,negative
"Почему я ростом такая маленькая:(все все младшие сестренки,племянники выше меня ростом:/несправедливо&gt;_&lt; была бы худой хотя бы",negative
RT @chumazzyj: в #Shazam Угар в исполнении DJ M.E.G. Feat. Serebro. Ноавится песня)) #song #moscow #music #россия http://t.co/240O5b6ttr,positive
RT @hobigabaduz: осталось 15% батареи. Я сижу в первом вагоне и под шум дизеля пью нескафе классик и жую казенаки. Пока все хорошо :-) Смо,positive
"RT @LyubaSverlova: Открыла открытку, а там...""тебя все равно никто не заменит""
Очень приятно узнать такую вещь^_^",positive
RT @CTPAX_BO_MNE: #np Ранетки - Опавшие листья (,negative
эх( через 2 дня в школу (( а так еще хочется отдохнут,negative
@Lesya_Galieva Зачем ты напомнила? Я только отвлеклась(((((,negative
"RT @DianaPayne_: когда вчера легла спать, то вся моя постель пахла подругами и я вспоминала вчера(((",negative
"Ну в смысле отек, да такой же как вчера утром(((",negative
"Парень каждый нг дарит мне новенький телефон, надоел, придумай еще что нибудь((",negative
